markets,corrs,vols,mids,dates
TAN_PBW,0.707115015,0.010413304,2,2015-05-29T00:00:00Z
TAN_PBW,0.698023302,0.0123567,2,2015-06-30T00:00:00Z
TAN_PBW,0.904123452,0.016034602,2,2015-07-31T00:00:00Z
TAN_PBW,0.876762588,0.019863559,2,2015-08-31T00:00:00Z
TAN_PBW,0.882116815,0.017760396,2,2015-09-30T00:00:00Z
TAN_PBW,0.920737574,0.018636979,2,2015-10-30T00:00:00Z
TAN_PBW,0.836572735,0.018001028,2,2015-11-30T00:00:00Z
TAN_PBW,0.906819433,0.018639677,2,2015-12-31T00:00:00Z
TAN_PBW,0.783558981,0.02603602,2,2016-01-29T00:00:00Z
TAN_PBW,0.925834849,0.021317408,2,2016-02-29T00:00:00Z
TAN_PBW,0.672963176,0.01275931,2,2016-03-31T00:00:00Z
TAN_PBW,0.828924098,0.013501409,2,2016-04-29T00:00:00Z
TAN_PBW,0.777834493,0.012142209,2,2016-05-31T00:00:00Z
TAN_PBW,0.921650251,0.021049134,2,2016-06-30T00:00:00Z
TAN_PBW,0.822525194,0.010682267,2,2016-07-29T00:00:00Z
TAN_PBW,0.807237125,0.010702924,2,2016-08-31T00:00:00Z
TAN_PBW,0.80262012,0.013253917,2,2016-09-30T00:00:00Z
TAN_PBW,0.721792518,0.009882691,2,2016-10-31T00:00:00Z
TAN_PBW,0.800958651,0.011622733,2,2016-11-30T00:00:00Z
TAN_PBW,0.688417481,0.013325529,2,2016-12-30T00:00:00Z
TAN_PBW,0.778265364,0.010952062,2,2017-01-31T00:00:00Z
TAN_PBW,0.681573487,0.011726024,2,2017-02-28T00:00:00Z
TAN_PBW,0.641806501,0.009116625,2,2017-03-31T00:00:00Z
TAN_PBW,0.753663027,0.012750195,2,2017-04-28T00:00:00Z
TAN_PBW,0.658390835,0.013559647,2,2017-05-31T00:00:00Z
TAN_PBW,0.61635822,0.010496166,2,2017-06-30T00:00:00Z
TAN_PBW,0.688106262,0.00956737,2,2017-07-31T00:00:00Z
TAN_PBW,0.827573005,0.010381527,2,2017-08-31T00:00:00Z
TAN_PBW,0.838103344,0.010022469,2,2017-09-29T00:00:00Z
TAN_PBW,0.633035238,0.00881472,2,2017-10-31T00:00:00Z
TAN_PBW,0.651683691,0.010464413,2,2017-11-30T00:00:00Z
TAN_PBW,0.934126051,0.009865923,2,2017-12-29T00:00:00Z
TAN_PBW,0.649922109,0.010282018,2,2018-01-31T00:00:00Z
TAN_PBW,0.956045505,0.016409158,2,2018-02-28T00:00:00Z
TAN_PBW,0.872824728,0.013395623,2,2018-03-29T00:00:00Z
TAN_PBW,0.688209905,0.013044359,2,2018-04-30T00:00:00Z
TAN_PBW,0.758320772,0.009859728,2,2018-05-31T00:00:00Z
TAN_PBW,0.65186378,0.009172075,2,2018-06-29T00:00:00Z
TAN_PBW,0.685261695,0.009286724,2,2018-07-31T00:00:00Z
TAN_PBW,0.795199525,0.009577876,2,2018-08-31T00:00:00Z
TAN_PBW,0.582933146,0.008428144,2,2018-09-28T00:00:00Z
TAN_PBW,0.794833265,0.018210314,2,2018-10-31T00:00:00Z
TAN_PBW,0.806327107,0.016701965,2,2018-11-30T00:00:00Z
TAN_PBW,0.842541034,0.021063011,2,2018-12-31T00:00:00Z
TAN_PBW,0.714421772,0.016548847,2,2019-01-31T00:00:00Z
TAN_PBW,0.628254315,0.011824246,2,2019-02-28T00:00:00Z
TAN_PBW,0.861425934,0.01564892,2,2019-03-29T00:00:00Z
TAN_PBW,0.751555389,0.008369662,2,2019-04-30T00:00:00Z
TAN_PBW,0.890632263,0.016521115,2,2019-05-31T00:00:00Z
TAN_PBW,0.760504588,0.014398959,2,2019-06-28T00:00:00Z
TAN_PBW,0.450799909,0.008028107,2,2019-07-31T00:00:00Z
TAN_PBW,0.928679135,0.01904577,2,2019-08-30T00:00:00Z
TAN_PBW,0.796117157,0.014693679,2,2019-09-30T00:00:00Z
TAN_PBW,0.784092153,0.010414088,2,2019-10-31T00:00:00Z
TAN_PBW,0.708107582,0.010721406,2,2019-11-29T00:00:00Z
TAN_PBW,0.898448471,0.009153604,2,2019-12-31T00:00:00Z
TAN_PBW,0.891098088,0.014833343,2,2020-01-31T00:00:00Z
TAN_PBW,0.956900836,0.031061071,2,2020-02-28T00:00:00Z
TAN_PBW,0.981123762,0.076250374,2,2020-03-31T00:00:00Z
TAN_PBW,0.95407651,0.038076822,2,2020-04-30T00:00:00Z
TAN_PBW,0.891409545,0.031034966,2,2020-05-29T00:00:00Z
TAN_PBW,0.917239072,0.031408955,2,2020-06-30T00:00:00Z
TAN_PBW,0.940627015,0.021366002,2,2020-07-31T00:00:00Z
TAN_PBW,0.937230541,0.017363743,2,2020-08-31T00:00:00Z
TAN_PBW,0.957215225,0.029870328,2,2020-09-30T00:00:00Z
TAN_PBW,0.903539879,0.026133022,2,2020-10-30T00:00:00Z
TAN_PBW,0.910696258,0.031789106,2,2020-11-30T00:00:00Z
TAN_PBW,0.913194256,0.028822559,2,2020-12-31T00:00:00Z
TAN_PBW,0.944286176,0.036431506,2,2021-01-29T00:00:00Z
TAN_PBW,0.91805379,0.035552811,2,2021-02-26T00:00:00Z
TAN_PBW,0.966311673,0.046596949,2,2021-03-31T00:00:00Z
TAN_PBW,0.937188643,0.025243541,2,2021-04-30T00:00:00Z
TAN_PBW,0.945321405,0.028386039,2,2021-05-28T00:00:00Z
TAN_PBW,0.798324956,0.016394219,2,2021-06-30T00:00:00Z
TAN_PBW,0.896546153,0.025206703,2,2021-07-30T00:00:00Z
TAN_PBW,0.883136537,0.022122926,2,2021-08-31T00:00:00Z
TAN_PBW,0.862460183,0.02016886,2,2021-09-30T00:00:00Z
